Ancash	Junin	Cajamarca	Amazonas	Ecuador	Ayacucho	Cuzco
paka-	paka-	paka-	paka-	paka-	paka-	paka-
apa-	apa-	apa-	apa-	apa-	apa-	apa-
rapra	lapla	rapra	rapra	---	rapra	raɸra
ampa	pampa	pamba	pamba	pamba	pampa	pampa
tapu-	tapu-	tapu-	tapu-	tapu-	tapu-	tapu-
wata-	wata-	wata-	wata-	wata-	wata-	wata-
utka	utka	utka	utka	--- 	utka	uskʰa
inti	inti	indi	indi	indi	inti	inti
kimsa	kimsa	kimsa	kimsa	kimsa	kimsa	kimsa
puka	puka	---	puka	puka	puka	puka
haksa-	saksa-	saksa-	saxsa-	saxsa-	saksa-	saxsa-
kuŋka	kuŋka	kuŋga	kuŋga	kuŋga	kuŋka	kuŋka
qam	am	qam	kam	kaŋ	χam	qaŋ
qoha	usa	qosa	kusa	kusa	χosa	qosa
waga-	waʔa-	waga-	waka-	waka-	waχa-	waqa-
hoχta	suʔta	soχta	sukta	suxta	soχta	soχta
heŋga	siŋʔa	seŋga	siŋga	siŋga	seŋχa	seŋqa
tsaki	čaki	čaki	čaki	čaki	čaki	č’aki
mutsa-	muča-	muča-	muča-	muča-	muča-	muč’a-
mantsa-	manča-	manča-	manča-	manča-	manča-	manča-
putska-	pučka-	pučka-	pučka-	puʃka-	pučka-	puska-
e:tsa	ayča	ayča	e:ča	ayča	ayča	ayča
čaki	čaki	čaki	čaki	čaki	čaki	čaki
kača-	kača-	kača-	kača-	kača-	kača-	kača-
učpa	učpa	učpa	učpa	uʃpa	učpa	uspʰa
kički	kički	kički	kički	kiʃki	kički	k’iski
haru-	salu-	saru-	saru-	saru-	saru-	saru-
hara	sala	sara	sara	sara	sara	sara
qaha	asa	qasa	kasa	kasa	χasa	qasa
isqoŋ	isʔuŋ	esqoŋ	iʃkuŋ	iʃkuŋ	isχoŋ	esqoŋ
––	aysa-	aysa-	e:sa-	aysa-	aysa-	aysa-
ʃulʸka	ʃulʸka	ʃuʃka	ʃuǰka	––	sulʸka	sulʸk’a
waʃa	waʃa	waʃa	waʃa	waʃa	wasa	wasa
iʃke:	iʃkay	iʃkay	iʃke:	iʃkay	iskay	iskay
hatuŋ	hatuŋ	atuŋ	atuŋ	hatuŋ	hatuŋ	hatuŋ
hutsa	huča	uča	uča	huča	huča	huča
humpi	humpi	––	umbi	humbi	humpi	hump’i
laki	lʸaki	ʒaki	ǰaki	ʒaki	lʸaki	lʸaki
kila	kilʸa	kiʒa	kiǰa	kiʒa	kilʸa	kilʸa
alba	alʸpa	aʃpa	aǰpa	aʒpa	alʸpa	halʸp’a
aylu	aylʸu	ayʒu	e:ǰu	ayʒu	aylʸu	aylʸu
rima-	lima-	rima-	rima-	rima-	rima-	rima-
karu	kalu	karu	karu	karu	karu	karu
warmi	walmi	warmi 	warmi	warmi	warmi	warmi
waχra	waʔla	waχra	wakra	––	waχra	waχra
nina	nina	nina	nina	nina	nina	nina
yana	yana	yana	yana	yana	yana	yana
wayna	wayna	wayna	wayna	wayna	wayna	wayna
nawi	nʸawi	nʸawi	nʸawi	nʸawi	nʸawi	nʸawi
wanu-	wanʸu-	wanʸu-	wanʸu-	wanʸu-	wanʸu-	wanʸu-
qepa	ipa	qepa	kipa	kipa	χepa	qʰepa
weqe	wiʔi	––	wiki	wiki	weχe	weqe
qeʃpi-	iʃpi-	––	kiʃpi-	kiʃpi-	χeʃpi-	qeʃpi-
qo-	u-	qo-	––	ku-	χo-	qo-
qoŋga-	uŋʔa-	qoŋga-	kuŋga-	kuŋga-	χoŋχa-	qoŋqa-
aŋya-	aŋya-	aŋya-	aŋya-	aŋya-	aŋya-	aŋya-
